uid,uid1,uid2,uid3,uid4,uid5,uid6,uid7,uid8,uid9,uid10
14807,18661,6171,957,2159,4672,5365,1088,28,25649,30370
1530,861,33926,36896,10721,4059,73,34451,268,66,16049
33970,3016,7222,35857,1065,32005,7062,35678,38816,9890,2448
2951,36885,1363,20371,11813,1364,1470,1453,780,31149,1486
3016,33970,35857,32005,7222,7062,38816,1065,9890,35110,1491
227,934,23289,6045,35790,849,25013,30015,37430,4898,28999
34438,34100,1023,2158,731,9130,8063,30415,39468,85,11135
4059,36896,16049,861,33926,31741,66,1530,5682,10721,72
2563,4053,2752,302,35320,9963,33190,1974,36990,38422,35075
4772,21469,16395,1729,36215,388,1695,3750,2076,11001,29893
32995,14075,2034,28297,37675,339,8425,237,32615,5681,27775
1023,8063,39468,9130,731,34438,30415,34100,793,4938,2158
8063,39468,1023,793,77,9130,30415,4938,25161,26123,11113
33926,1530,861,36896,4059,10721,16049,73,66,31741,34451
31490,24997,31098,30279,122,24277,10029,187,22097,18,949
2448,10643,24921,1065,33899,35678,17949,25313,36275,21419,7222
27831,21855,27989,5682,9656,72,36563,10080,31741,27833,28025
36896,4059,33926,861,16049,1530,31741,66,5682,10721,72
15039,21647,16001,4901,7711,28725,25879,12477,3783,387,31173
1065,2448,33970,7222,35678,24921,3016,17949,10643,36275,35857
4053,2563,2752,302,9963,38422,36990,33190,35320,35075,33323
20371,2951,1453,1363,1364,1486,781,11813,36885,34440,780
846,4814,5678,416,31174,37786,10049,12113,31251,33161,13331
36885,2951,1363,11813,31149,1470,20371,1364,780,1257,27947
8740,81,535,4918,11113,77,31051,25161,6586,962,39468
39592,36963,36160,35029,2982,29807,2447,31652,40956,2531,33291
81,535,8740,4918,11113,77,31051,25161,6586,39468,8063
5029,6438,1471,2623,3371,890,36215,2150,13119,1485,33064
16001,28725,21647,15039,4901,12477,31173,7711,387,16,239
2076,29893,851,589,16395,1695,11239,4772,34036,21469,1729
9656,10080,1943,27831,27989,35968,21855,28025,31339,2759,15689
36963,37822,36160,2761,39592,38201,6694,30223,36737,39470,7178
23289,6045,35790,30015,934,227,889,33206,849,25013,37430
23199,14713,2759,33489,37675,15689,1943,35968,31339,339,28297
4789,37435,3167,30885,29093,21557,31251,440,3901,9926,18689
25879,3783,15039,4901,18179,7711,34626,21647,9941,8129,16001
1943,35968,2759,23199,31339,9656,15689,33489,10080,14713,37675
37675,14713,237,2034,28297,32995,339,23199,33489,5681,8425
7720,2449,1914,12069,1089,30745,31973,38731,569,1505,995
1453,1486,20371,1364,1363,2951,781,11813,34440,36885,780
28725,12477,16001,31173,4901,21647,15039,16,387,7711,35838
6045,35790,23289,30015,934,227,889,33206,25013,37430,849
2004,39112,2143,40080,9088,3907,17739,254,34376,37873,1375
6421,11123,2164,2952,721,3927,4107,10049,186,33161,21877
31173,12477,16,28725,6211,16001,268,7338,16918,4901,21647
14813,29803,14513,7054,17265,3588,12189,23283,2025,33206,889
32615,7791,14075,25013,37430,227,8425,27775,32995,16067,5681
16049,72,4059,36896,5682,31741,66,33926,861,16706,1530
35790,6045,23289,30015,889,33206,934,227,25013,37430,34577
2150,1471,1485,5029,6438,2623,890,33064,3665,6591,3371
535,81,4918,8740,31051,77,11113,25161,39468,6586,35677
6171,14807,5365,30370,18661,4672,2159,957,1088,2154,28
30015,889,35790,23289,33206,6045,934,15809,34577,17265,35062
31174,33161,846,10049,3927,31658,5678,4814,416,721,4107
20507,18679,23755,30831,2167,24833,28223,6746,13759,121,22319
851,589,29893,11239,2076,2035,1695,16395,34036,9996,645
12031,7465,153,135,3701,21877,186,4106,4477,2952,22961
153,12031,135,186,21877,7465,2952,3701,4477,4106,11123
9963,302,33323,38422,4053,2752,36990,2563,2559,33190,35075
889,33206,30015,35790,23289,6045,17265,35062,15809,34577,29803
21469,4772,16395,1729,36215,2076,388,1695,3750,29893,3371
12477,28725,31173,16001,16,4901,21647,6211,15039,16918,35838
14713,37675,23199,237,2759,2034,33489,28297,339,32995,5681
16,6211,31173,16918,12477,268,28725,7338,27821,4722,32902
